,nom_Produit,marque,LenStore30,LMC30,MaLentille30,VisionD30
0,1-Day Acuvue Moist,Acuvue,"<a href=""https://www.lenstore.fr/lentilles-de-contact/p13/1-day-acuvue-moist"" rel=""noopener noreferrer"" target=""_blank""><span class=""u-price"">16,49</span></a>","<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-1-day-acuvue-moist-30.html"" rel=""noopener noreferrer"" target=""_blank"">17,40</a>","<a href=""https://www.malentille.com/lentilles-de-contact-22/121-1-day-acuvue-moist-30.html"" rel=""noopener noreferrer"" target=""_blank"">15,00</a>","<a href=""https://www.visiondirect.fr/1-day-acuvue-moist"" rel=""noopener noreferrer"" target=""_blank"">18,49</a>"
1,1-Day Acuvue Moist Multifocal,Acuvue,"<a href=""https://www.lenstore.fr/lentilles-de-contact/p250/1-day-acuvue-moist-multifocal"" rel=""noopener noreferrer"" target=""_blank""><span class=""u-price"">30,19</span></a>","<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-1-day-acuvue-moist-multifocal-30.html"" rel=""noopener noreferrer"" target=""_blank"">33,60</a>","<a href=""https://www.malentille.com/lentilles-de-contact-22/267-1-day-acuvue-moist-multifocal-30.html"" rel=""noopener noreferrer"" target=""_blank"">33,90</a>","<a href=""https://www.visiondirect.fr/1-day-acuvue-moist-multifocal"" rel=""noopener noreferrer"" target=""_blank"">29,99</a>"
2,1-Day Acuvue Moist for Astigmatism,Acuvue,"<a href=""https://www.lenstore.fr/lentilles-de-contact/p106/1-day-acuvue-moist-for-astigmatism"" rel=""noopener noreferrer"" target=""_blank""><span class=""u-price"">22,19</span></a>","<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-1-day-acuvue-moist-for-astigmatism-30.html"" rel=""noopener noreferrer"" target=""_blank"">20,20</a>","<a href=""https://www.malentille.com/lentilles-de-contact-22/225-1-day-acuvue-moist-for-astigmatism.html"" rel=""noopener noreferrer"" target=""_blank"">22,20</a>","<a href=""https://www.visiondirect.fr/1-day-acuvue-moist-for-astigmatism"" rel=""noopener noreferrer"" target=""_blank"">20,99</a>"
3,Biomedics 1-Day Extra,Biomedics,"<a href=""https://www.lenstore.fr/lentilles-de-contact/p200/biomedics-1-day-extra"" rel=""noopener noreferrer"" target=""_blank""><span class=""u-price"">12,19</span></a>","<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-biomedics-1-day-extra-30.html"" rel=""noopener noreferrer"" target=""_blank"">14,50</a>",,"<a href=""https://www.visiondirect.fr/biomedics-1-day-extra"" rel=""noopener noreferrer"" target=""_blank"">12,99</a>"
4,Clariti 1-Day Multifocal,Clariti,"<a href=""https://www.lenstore.fr/lentilles-de-contact/p217/clariti-1-day-multifocal"" rel=""noopener noreferrer"" target=""_blank""><span class=""u-price"">24,29</span></a>","<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-clariti-1-day-multifocal-30.html"" rel=""noopener noreferrer"" target=""_blank"">27,90</a>",,"<a href=""https://www.visiondirect.fr/clariti-1-day-multifocal"" rel=""noopener noreferrer"" target=""_blank"">31,99</a>"
5,Dailies All Day Comfort,Dailies,"<a href=""https://www.lenstore.fr/lentilles-de-contact/p8/focus-dailies-all-day-comfort"" rel=""noopener noreferrer"" target=""_blank""><span class=""u-price"">15,59</span></a>","<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-dailies-all-day-comfort-30.html"" rel=""noopener noreferrer"" target=""_blank"">14,90</a>","<a href=""https://www.malentille.com/lentilles-de-contact-22/108-dailies-all-day-comfort-30-0630175475947.html"" rel=""noopener noreferrer"" target=""_blank"">13,90</a>","<a href=""https://www.visiondirect.fr/focus-dailies-all-day-comfort"" rel=""noopener noreferrer"" target=""_blank"">14,99</a>"
6,Dailies AquaComfort Plus,Dailies,"<a href=""https://www.lenstore.fr/lentilles-de-contact/p5/dailies-aquacomfort-plus"" rel=""noopener noreferrer"" target=""_blank""><span class=""u-price"">16,19</span></a>","<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-dailies-aquacomfort-plus-30.html"" rel=""noopener noreferrer"" target=""_blank"">17,90</a>","<a href=""https://www.malentille.com/lentilles-de-contact-22/183-dailies-aquacomfort-plus-30.html"" rel=""noopener noreferrer"" target=""_blank"">13,50</a>","<a href=""https://www.visiondirect.fr/dailies-aquacomfort-plus"" rel=""noopener noreferrer"" target=""_blank"">16,99</a>"
7,Dailies AquaComfort Plus Multifocal,Dailies,"<a href=""https://www.lenstore.fr/lentilles-de-contact/p234/dailies-aquacomfort-plus-multifocal"" rel=""noopener noreferrer"" target=""_blank""><span class=""u-price"">27,99</span></a>","<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-dailies-aquacomfort-plus-multifocal-30.html"" rel=""noopener noreferrer"" target=""_blank"">29,10</a>","<a href=""https://www.malentille.com/lentilles-de-contact-22/255-dailies-aquacomfort-plus-multifocal.html"" rel=""noopener noreferrer"" target=""_blank"">28,50</a>","<a href=""https://www.visiondirect.fr/dailies-aquacomfort-plus-multifocal"" rel=""noopener noreferrer"" target=""_blank"">28,49</a>"
8,Dailies AquaComfort Plus Toric,Dailies,"<a href=""https://www.lenstore.fr/lentilles-de-contact/p233/dailies-aquacomfort-plus-toric"" rel=""noopener noreferrer"" target=""_blank""><span class=""u-price"">23,39</span></a>","<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-dailies-aquacomfort-plus-toric-30.html"" rel=""noopener noreferrer"" target=""_blank"">23,90</a>","<a href=""https://www.malentille.com/lentilles-de-contact-22/268-dailies-aquacomfort-plus-toric-30-lentiles.html"" rel=""noopener noreferrer"" target=""_blank"">18,40</a>","<a href=""https://www.visiondirect.fr/dailies-aquacomfort-plus-toric"" rel=""noopener noreferrer"" target=""_blank"">23,99</a>"
9,Dailies Total 1 Multifocal,Dailies,"<a href=""https://www.lenstore.fr/lentilles-de-contact/p457/dailies-total-1-multifocal"" rel=""noopener noreferrer"" target=""_blank""><span class=""u-price"">36,79</span></a>","<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-dailies-total-1-multifocal-30.html"" rel=""noopener noreferrer"" target=""_blank"">37,20</a>","<a href=""https://www.malentille.com/lentilles-de-contact-22/346-dailies-total-1-multifocal-30-lentille-0846566846375.html"" rel=""noopener noreferrer"" target=""_blank"">35,50</a>","<a href=""https://www.visiondirect.fr/dailies-total-1-multifocal"" rel=""noopener noreferrer"" target=""_blank"">33,99</a>"
10,Proclear 1-Day,Proclear,"<a href=""https://www.lenstore.fr/lentilles-de-contact/p60/proclear-1-day"" rel=""noopener noreferrer"" target=""_blank""><span class=""u-price"">13,29</span></a>","<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-proclear-1-day-30.html"" rel=""noopener noreferrer"" target=""_blank"">15,80</a>","<a href=""https://www.malentille.com/lentilles-de-contact-22/188-proclear-1-day-30.html"" rel=""noopener noreferrer"" target=""_blank"">16,50</a>","<a href=""https://www.visiondirect.fr/proclear-1-day"" rel=""noopener noreferrer"" target=""_blank"">14,99</a>"
11,Soflens Daily Disposable,Soflens,"<a href=""https://www.lenstore.fr/lentilles-de-contact/p1/soflens-daily-disposable"" rel=""noopener noreferrer"" target=""_blank""><span class=""u-price"">11,09</span></a>","<a href=""https://www.lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-soflens-daily-disposable-30.html"" rel=""noopener noreferrer"" target=""_blank"">14,40</a>","<a href=""https://www.malentille.com/lentilles-de-contact-22/107-soflens-daily-disposable-30-0785810728497.html"" rel=""noopener noreferrer"" target=""_blank"">12,90</a>","<a href=""https://www.visiondirect.fr/soflens-daily-disposable"" rel=""noopener noreferrer"" target=""_blank"">12,99</a>"
