,nomProduitAdjusted,prixProduitAdjusted,lienAchat,revendeur
1,1 Day Acuvue  TruEye 30L," 24,50 € ",https://www.malentille.com/lentilles-de-contact-22/197-1-day-acuvue-trueye.html,MaLentille
2,1 Day Acuvue  TruEye 90L," 57,90 € ",https://www.malentille.com/lentilles-de-contact-22/198-1-day-acuvue-trueye-90.html,MaLentille
3,1 Day Acuvue Moist 180L," 84,90 € ",https://www.malentille.com/lentilles-de-contact-22/260-1-day-acuvue-moist-180.html,MaLentille
4,1 Day Acuvue Moist 30L," 15,00 € ",https://www.malentille.com/lentilles-de-contact-22/121-1-day-acuvue-moist-30.html,MaLentille
5,1 Day Acuvue Moist 90L," 42,50 € ",https://www.malentille.com/lentilles-de-contact-22/122-1-day-acuvue-moist-90.html,MaLentille
6,1 Day Acuvue Moist for Astigmatism," 22,20 € ",https://www.malentille.com/lentilles-de-contact-22/225-1-day-acuvue-moist-for-astigmatism.html,MaLentille
7,1 Day Acuvue Moist Multifocal 30L," 33,90 € ",https://www.malentille.com/lentilles-de-contact-22/267-1-day-acuvue-moist-multifocal-30.html,MaLentille
8,1 Day Acuvue Moist Multifocal 90L," 73,90 € ",https://www.malentille.com/lentilles-de-contact-22/276-1-day-acuvue-moist-multifocal-30.html,MaLentille
9,1 Day Acuvue Trueye 180L," 109,90 € ",https://www.malentille.com/lentilles-de-contact-22/261-1-day-acuvue-trueye-180.html,MaLentille
10,1 Day Acuvue® Moist® for Astigmatism 90L ," 66,90 € ",https://www.malentille.com/lentilles-de-contact-22/328-1-day-acuvue-moist-for-astigmatism-90l-.html,MaLentille
11,Acuvue Oasys 1 day 30," 26,90 € ",https://www.malentille.com/lentilles-de-contact-22/297-oasys-1-day-30.html,MaLentille
12,Acuvue Oasys 1 day 90," 69,90 € ",https://www.malentille.com/lentilles-de-contact-22/298-oasys-1-day-90.html,MaLentille
13,Biotrue 1 Day 30L," 18,20 € ",https://www.malentille.com/lentilles-de-contact-22/250-biotrue-30-lentilles.html,MaLentille
14,Biotrue 1 Day 90L," 45,90 € ",https://www.malentille.com/lentilles-de-contact-22/251-biotrue-30-lentilles.html,MaLentille
15,Biotrue 1 Day Progressive," 28,90 € ",https://www.malentille.com/lentilles-de-contact-22/270-biotrue-1-day-progressive.html,MaLentille
16,Clariti 1 Day 30L," 21,90 € ",https://www.malentille.com/lentilles-de-contact-22/271-clarity-1-day-30.html,MaLentille
17,Clariti 1 Day 90L," 55,90 € ",https://www.malentille.com/lentilles-de-contact-22/272-clarity-1-day-90.html,MaLentille
18,Clariti 1 Day Toric," 29,90 € ",https://www.malentille.com/lentilles-de-contact-22/273-clarity-1-day-toric.html,MaLentille
19,Dailies All Day Comfort 30L," 13,90 € ",https://www.malentille.com/lentilles-de-contact-22/108-dailies-all-day-comfort-30-0630175475947.html,MaLentille
20,Dailies All Day Comfort 90L," 37,50 € ",https://www.malentille.com/lentilles-de-contact-22/109-focus-dailies-9nnn-1nnn9-0630175461377.html,MaLentille
21,Dailies Aquacomfort plus 30," 13,50 € ",https://www.malentille.com/lentilles-de-contact-22/183-dailies-aquacomfort-plus-30.html,MaLentille
22,Dailies Aquacomfort plus 90," 35,50 € ",https://www.malentille.com/lentilles-de-contact-22/184-dailies-aquacomfort-plus-90.html,MaLentille
23,Dailies Aquacomfort plus Multifocal," 28,50 € ",https://www.malentille.com/lentilles-de-contact-22/255-dailies-aquacomfort-plus-multifocal.html,MaLentille
24,Dailies Aquacomfort plus Toric 30 lentilles," 18,40 € ",https://www.malentille.com/lentilles-de-contact-22/268-dailies-aquacomfort-plus-toric-30-lentiles.html,MaLentille
25,DAILIES TOTAL 1  (30 lentilles)," 21,50 € ",https://www.malentille.com/lentilles-de-contact-22/230-dailies-total-1-30-lentilles.html,MaLentille
26,DAILIES TOTAL 1 (90 lentilles)," 64,00 € ",https://www.malentille.com/lentilles-de-contact-22/231-dailies-total-1-90-lentilles.html,MaLentille
27,Dailies Total 1 Multifocal 30L," 35,50 € ",https://www.malentille.com/lentilles-de-contact-22/346-dailies-total-1-multifocal-30-lentille-0846566846375.html,MaLentille
28,Dailies Total 1 Multifocal 90L," 95,90 € ",https://www.malentille.com/lentilles-de-contact-22/347-dailies-total-1-multifocal-90-lentille-0846566850990.html,MaLentille
29,Freshlook One Day," 12,10 € ",https://www.malentille.com/lentilles-de-couleur-25/147-freshlook-one-day.html,MaLentille
30,Miru 1 Day 30L," 20,90 € ",https://www.malentille.com/lentilles-de-contact-22/278-miru-1-day-30-lentilles-0884465017328.html,MaLentille
31,Miru 1 Day 90L," 54,90 € ",https://www.malentille.com/lentilles-de-contact-22/345-miru-1-day-90-lentilles-0360947001014.html,MaLentille
32,MyDay 30L," 21,50 € ",https://www.malentille.com/lentilles-de-contact-22/252-myday-30-lentilles.html,MaLentille
33,MyDay 90L," 58,90 € ",https://www.malentille.com/lentilles-de-contact-22/254-myday-90-lentilles.html,MaLentille
34,Oasys 1 day for Astigmatism 30l," 29,90 € ",https://www.malentille.com/lentilles-de-contact-22/389-oasys-1-day-for-astigmatism-30l-0888290049738.html,MaLentille
35,Precision 1 30l," 19,80 € ",https://www.malentille.com/lentilles-de-contact-22/395-precision-1-30l-0730822254212.html,MaLentille
36,Precision 1 90l," 56,30 € ",https://www.malentille.com/lentilles-de-contact-22/396-precision-1-90l-0730822254939.html,MaLentille
37,Proclear 1 day 30," 16,50 € ",https://www.malentille.com/lentilles-de-contact-22/188-proclear-1-day-30.html,MaLentille
38,Proclear 1 day 90," 44,20 € ",https://www.malentille.com/lentilles-de-contact-22/189-proclear-1-day-90.html,MaLentille
39,Proclear 1 day Multifocal," 22,90 € ",https://www.malentille.com/lentilles-de-contact-22/237-proclear-1-day-multifocal.html,MaLentille
40,Soflens Daily Disposable 30L," 12,90 € ",https://www.malentille.com/lentilles-de-contact-22/107-soflens-daily-disposable-30-0785810728497.html,MaLentille
41,Soflens Daily Disposable 90L," 28,90 € ",https://www.malentille.com/lentilles-de-contact-22/106-soflens-daily-disposable-90-0785810729364.html,MaLentille
42,Soflens Daily Disposable for Astigmatism," 23,90 € ",https://www.malentille.com/lentilles-de-contact-22/191-soflens-daily-disposable-for-astigmatism.html,MaLentille
