nomProduitAdjusted,marque,prixProduitAdjusted,lienAchat,revendeur
  1-Day ACUVUE Moist Multifocal (30)  ,Acuvue,"33,60",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-1-day-acuvue-moist-multifocal-30.html,LentillesMoinsCheres
  1-Day ACUVUE Moist Multifocal (90)  ,Acuvue,"74,50",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-1-day-acuvue-moist-multifocal-90.html,LentillesMoinsCheres
  Acuvue Oasys with Hydraclear Plus  ,Acuvue,"17,40",lentillesmoinscheres.com/lentilles-de-contact/bi-mensuelles/lentilles-acuvue-oasys-with-hydraclear-plus.html,LentillesMoinsCheres
  Acuvue Oasys 12 with Hydraclear Plus  ,Acuvue,"33,80",lentillesmoinscheres.com/lentilles-de-contact/bi-mensuelles/lentilles-acuvue-oasys-12-with-hydraclear-plus.html,LentillesMoinsCheres
  Acuvue Oasys 24 with Hydraclear Plus  ,Acuvue,"65,00",lentillesmoinscheres.com/lentilles-de-contact/bi-mensuelles/lentilles-acuvue-oasys-24-with-hydraclear-plus.html,LentillesMoinsCheres
  Acuvue Oasys for Presbyopia with Hydraclear Plus  ,Acuvue,"32,40",lentillesmoinscheres.com/lentilles-de-contact/bi-mensuelles/lentilles-acuvue-oasys-for-presbyopia-with-hydraclear-plus.html,LentillesMoinsCheres
  ACUVUE Oasys with Transitions (6)  ,Acuvue,"33,90",lentillesmoinscheres.com/lentilles-de-contact/bi-mensuelles/lentilles-acuvue-oasys-with-transitions-6.html,LentillesMoinsCheres
  Acuvue VITA  ,Acuvue,"29,50",lentillesmoinscheres.com/lentilles-de-contact/mensuelles/lentilles-acuvue-vita.html,LentillesMoinsCheres
  Acuvue VITA for Astigmatism (6)  ,Acuvue,"35,00",lentillesmoinscheres.com/lentilles-de-contact/mensuelles/lentilles-acuvue-vita-for-astigmatism-6.html,LentillesMoinsCheres
  Biomedics 1 Day Toric Extra (30)  ,Biomedics,"26,20",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-biomedics-1-day-toric-extra-30.html,LentillesMoinsCheres
  Clariti 1 Day (30)  ,Clariti,"19,20",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-clariti-1-day-30.html,LentillesMoinsCheres
  Clariti 1 Day (90)  ,Clariti,"52,40",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-clariti-1-day-90.html,LentillesMoinsCheres
  Clariti 1 Day multifocal (30)  ,Clariti,"27,90",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-clariti-1-day-multifocal-30.html,LentillesMoinsCheres
  Clariti 1 Day multifocal (90)  ,Clariti,"77,00",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-clariti-1-day-multifocal-90.html,LentillesMoinsCheres
  Clariti 1 Day Toric (30)  ,Clariti,"23,90",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-clariti-1-day-toric-30.html,LentillesMoinsCheres
  1-Day ACUVUE Moist (180)  ,Acuvue,"85,50",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-1-day-acuvue-moist-180.html,LentillesMoinsCheres
  1-Day ACUVUE Moist (30)  ,Acuvue,"17,40",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-1-day-acuvue-moist-30.html,LentillesMoinsCheres
  1-Day ACUVUE Moist (90)  ,Acuvue,"44,50",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-1-day-acuvue-moist-90.html,LentillesMoinsCheres
  1-Day ACUVUE Moist for Astigmatism (30)  ,Acuvue,"20,20",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-1-day-acuvue-moist-for-astigmatism-30.html,LentillesMoinsCheres
  1-Day ACUVUE Moist for Astigmatism (90)  ,Acuvue,"57,90",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-1-day-acuvue-moist-for-astigmatism-90.html,LentillesMoinsCheres
  1-Day ACUVUE TruEye (180)  ,Acuvue,"10,20",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-1-day-acuvue-trueye-180.html,LentillesMoinsCheres
  1-Day ACUVUE TruEye (30)  ,Acuvue,"22,60",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-1-day-acuvue-trueye-30.html,LentillesMoinsCheres
  1-Day ACUVUE TruEye (90)  ,Acuvue,"59,20",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-1-day-acuvue-trueye-90.html,LentillesMoinsCheres
  ACUVUE 2 (6)  ,Acuvue,"17,30",lentillesmoinscheres.com/lentilles-de-contact/bi-mensuelles/lentilles-acuvue-2-6.html,LentillesMoinsCheres
  ACUVUE Oasys 1-Day (30)  ,Acuvue,"26,50",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-acuvue-oasys-1-day-30.html,LentillesMoinsCheres
  ACUVUE Oasys 1-Day (90)  ,Acuvue,"69,50",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-acuvue-oasys-1-day-90.html,LentillesMoinsCheres
  ACUVUE Oasys 1-Day for Astigmatism (30)  ,Acuvue,"33,00",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-acuvue-oasys-1-day-for-astigmatism-30.html,LentillesMoinsCheres
  ACUVUE Oasys 1-Day for Astigmatism (90)  ,Acuvue,"88,90",lentillesmoinscheres.com/lentilles-de-contact/journalieres/lentilles-acuvue-oasys-1-day-for-astigmatism-90.html,LentillesMoinsCheres
  ACUVUE Oasys For Astigmatism (6)  ,Acuvue,"26,90",lentillesmoinscheres.com/lentilles-de-contact/bi-mensuelles/lentilles-acuvue-oasys-for-astigmatism-6.html,LentillesMoinsCheres
  ACUVUE Oasys For Astigmatism (12)  ,Acuvue,"53,30",lentillesmoinscheres.com/lentilles-de-contact/bi-mensuelles/lentilles-acuvue-oasys-for-astigmatism-12.html,LentillesMoinsCheres
  Biomedics Evolution  ,Biomedics,"15,00",lentillesmoinscheres.com/lentilles-de-contact/mensuelles/lentilles-biomedics-evolution.html,LentillesMoinsCheres
  Biomedics Toric  ,Biomedics,"31,80",lentillesmoinscheres.com/lentilles-de-contact/mensuelles/lentilles-biomedics-toric.html,LentillesMoinsCheres
  Clariti Elite (6)  ,Clariti,"28,20",lentillesmoinscheres.com/lentilles-de-contact/mensuelles/lentilles-clariti-elite-6.html,LentillesMoinsCheres
